anchor_source,anchor_id,event,anchor_mjd,anchor_definition,diagnostic_half_width_rest_days,bands_N,bands_with_local_data_N,bands_with_pre_anchor_data_N,bands_with_post_anchor_data_N,bands_with_both_sides_N,bands_with_brightest_before_anchor_N,bands_with_brightest_at_anchor_N,bands_with_brightest_after_anchor_N,median_brightest_offset_rest_days,minimum_brightest_offset_rest_days,maximum_brightest_offset_rest_days,bands_with_pre_step_diagnostic_N,bands_with_post_step_diagnostic_N,median_pre_rising_step_fraction,median_post_declining_step_fraction,final_decline_anchor_selected,final_fitting_window_selected,model_time_defined,reference_heterogeneity_note
CURRENT,CURRENT,AT2019qiz,58764.0,bolometric_peak,60.0,3,3,3,3,3,2,0,1,-0.5023987075567042,-0.5418025277579328,2.285421571621082,3,3,0.9,0.7272727272727273,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2019qiz,58764.0,bolometric_peak,120.0,3,3,3,3,3,2,0,1,-0.5023987075567042,-0.5418025277579328,2.285421571621082,3,3,0.9,0.6888888888888889,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_58761p4,AT2019qiz,58761.4,inferred optical peak,30.0,3,3,3,3,3,0,0,3,2.05884960546581,2.019445785264581,4.846669884643596,3,3,0.875,0.6666666666666666,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_58761p4,AT2019qiz,58761.4,inferred optical peak,60.0,3,3,3,3,3,0,0,3,2.05884960546581,2.019445785264581,4.846669884643596,3,3,0.875,0.7083333333333334,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_58761p4,AT2019qiz,58761.4,inferred optical peak,120.0,3,3,3,3,3,0,0,3,2.05884960546581,2.019445785264581,4.846669884643596,3,3,0.875,0.6808510638297872,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_58766p5,AT2019qiz,58766.5,fitted rest-frame g-band maximum,30.0,3,3,3,3,3,3,0,0,-2.9651374700797306,-3.0045412902809594,-0.1773171909019446,3,3,0.8333333333333334,0.75,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_58766p5,AT2019qiz,58766.5,fitted rest-frame g-band maximum,60.0,3,3,3,3,3,3,0,0,-2.9651374700797306,-3.0045412902809594,-0.1773171909019446,3,3,0.8333333333333334,0.7272727272727273,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_58766p5,AT2019qiz,58766.5,fitted rest-frame g-band maximum,120.0,3,3,3,3,3,3,0,0,-2.9651374700797306,-3.0045412902809594,-0.1773171909019446,3,3,0.8333333333333334,0.6976744186046512,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_58767p61,AT2019qiz,58767.61,uniform K-corrected multiband fitted t_peak,30.0,3,3,3,3,3,3,0,0,-4.0585934806405275,-4.097997300841756,-1.2707732014627418,3,3,0.8333333333333334,0.75,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_58767p61,AT2019qiz,58767.61,uniform K-corrected multiband fitted t_peak,60.0,3,3,3,3,3,3,0,0,-4.0585934806405275,-4.097997300841756,-1.2707732014627418,3,3,0.8333333333333334,0.7272727272727273,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_58767p61,AT2019qiz,58767.61,uniform K-corrected multiband fitted t_peak,120.0,3,3,3,3,3,3,0,0,-4.0585934806405275,-4.097997300841756,-1.2707732014627418,3,3,0.8333333333333334,0.6976744186046512,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2020wey,59152.0,fitted_ZTF_r_band_peak,30.0,4,4,4,2,2,4,0,0,-4.976644058154242,-8.488926341758747,-1.447801300351314,2,2,0.6842105263157894,0.6276923076923078,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2020wey,59152.0,fitted_ZTF_r_band_peak,60.0,4,4,4,2,2,4,0,0,-4.976644058154242,-8.488926341758747,-1.447801300351314,2,2,0.6842105263157894,0.5606866537717602,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2020wey,59152.0,fitted_ZTF_r_band_peak,120.0,4,4,4,2,2,4,0,0,-4.976644058154242,-8.488926341758747,-1.447801300351314,2,2,0.6842105263157894,0.4933484973807555,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_59155p84,AT2020wey,59155.84,"fitted rest-frame g-band maximum, Yao r1+d5",30.0,4,4,4,2,2,4,0,0,-8.71430685088576,-12.226589134490265,-5.185464093082833,2,2,0.6388888888888888,0.5662393162393162,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_59155p84,AT2020wey,59155.84,"fitted rest-frame g-band maximum, Yao r1+d5",60.0,4,4,4,2,2,4,0,0,-8.71430685088576,-12.226589134490265,-5.185464093082833,2,2,0.6428571428571428,0.5213636363636364,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_59155p84,AT2020wey,59155.84,"fitted rest-frame g-band maximum, Yao r1+d5",120.0,4,4,4,2,2,4,0,0,-8.71430685088576,-12.226589134490265,-5.185464093082833,2,2,0.6428571428571428,0.4895,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_59156p58,AT2020wey,59156.58,uniform K-corrected multiband fitted t_peak,30.0,4,4,4,2,2,4,0,0,-9.434585618240817,-12.946867901845323,-5.90574286043789,2,2,0.5672514619883041,0.56,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_59156p58,AT2020wey,59156.58,uniform K-corrected multiband fitted t_peak,60.0,4,4,4,2,2,4,0,0,-9.434585618240817,-12.946867901845323,-5.90574286043789,2,2,0.599802371541502,0.5162306201550388,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_59156p58,AT2020wey,59156.58,uniform K-corrected multiband fitted t_peak,120.0,4,4,4,2,2,4,0,0,-9.434585618240817,-12.946867901845323,-5.90574286043789,2,2,0.599802371541502,0.48732663797226206,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2020ysg,59122.64,model_derived_K_corrected_multiband_peak,30.0,5,2,0,2,0,0,0,2,17.54171468295675,11.664572983685995,23.418856382227506,0,2,,0.225,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2020ysg,59122.64,model_derived_K_corrected_multiband_peak,60.0,5,5,1,5,1,0,0,5,48.86029896632511,11.664572983685995,52.38119577131364,1,2,0.4666666666666667,0.5401785714285714,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2020ysg,59122.64,model_derived_K_corrected_multiband_peak,120.0,5,5,4,5,4,1,0,4,23.418856382227506,-112.59285919342057,62.493728034478785,2,3,0.5444444444444445,0.5833333333333334,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_59094p32,AT2020ysg,59094.32,"fitted rest-frame g-band maximum, Yao r1+d2",30.0,5,1,1,0,0,1,0,0,-29.873845340799054,-29.873845340799054,-29.873845340799054,1,0,0,,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_59094p32,AT2020ysg,59094.32,"fitted rest-frame g-band maximum, Yao r1+d2",60.0,5,2,2,2,2,0,0,2,39.718691973481185,33.841550274210434,45.595833672751944,2,2,0.5147058823529411,0.592391304347826,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_59094p32,AT2020ysg,59094.32,"fitted rest-frame g-band maximum, Yao r1+d2",120.0,5,5,5,5,5,1,0,4,45.595833672751944,-90.41588190289613,84.67070532500323,3,3,0.5416666666666666,0.6190476190476191,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2020yue,59179.44,fitted_rest_frame_g_band_peak,30.0,4,4,2,4,2,0,0,4,3.736032410618092,2.44830144933124,5.055265282572749,2,2,0.7291666666666667,0.7083333333333333,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2020yue,59179.44,fitted_rest_frame_g_band_peak,60.0,4,4,2,4,2,0,0,4,3.736032410618092,2.44830144933124,5.055265282572749,2,2,0.7201086956521738,0.6666666666666666,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2020yue,59179.44,fitted_rest_frame_g_band_peak,120.0,4,4,2,4,2,0,0,4,3.736032410618092,2.44830144933124,5.055265282572749,2,2,0.7041666666666666,0.525735294117647,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2020zso,59184.0,bolometric_peak,30.0,10,9,9,7,7,2,0,7,4.838846066585236,-24.18096778377508,11.126208463502097,7,7,0.5,0.7142857142857143,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2020zso,59184.0,bolometric_peak,60.0,10,9,9,7,7,2,0,7,4.838846066585236,-24.18096778377508,11.126208463502097,7,7,0.5,0.7142857142857143,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2020zso,59184.0,bolometric_peak,120.0,10,9,9,7,7,2,0,7,4.838846066585236,-24.18096778377508,11.126208463502097,7,7,0.5,0.7142857142857143,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_59188p04,AT2020zso,59188.04,uniform K-corrected multiband fitted t_peak,30.0,10,9,9,7,7,4,0,5,1.014175045094303,-28.005638805266017,7.301537442011164,7,7,0.6,0.8333333333333334,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_59188p04,AT2020zso,59188.04,uniform K-corrected multiband fitted t_peak,60.0,10,9,9,7,7,4,0,5,1.014175045094303,-28.005638805266017,7.301537442011164,7,7,0.6,0.8333333333333334,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_59188p04,AT2020zso,59188.04,uniform K-corrected multiband fitted t_peak,120.0,10,9,9,7,7,4,0,5,1.014175045094303,-28.005638805266017,7.301537442011164,7,7,0.6,0.8333333333333334,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_59195p0,AT2020zso,59195.0,optical-light-curve inferred peak,30.0,10,7,7,7,7,6,0,1,-5.517917636982602,-10.155387673957529,0.7125002366725983,7,7,0.6666666666666666,1.0,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_59195p0,AT2020zso,59195.0,optical-light-curve inferred peak,60.0,10,9,9,7,7,8,0,1,-5.574862160244263,-34.59467601060458,0.7125002366725983,7,7,0.6666666666666666,1.0,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_59195p0,AT2020zso,59195.0,optical-light-curve inferred peak,120.0,10,9,9,7,7,8,0,1,-5.574862160244263,-34.59467601060458,0.7125002366725983,7,7,0.6304347826086957,1.0,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
