anchor_source,anchor_id,event,anchor_mjd,anchor_definition,diagnostic_half_width_rest_days,sampling_subset,event_bands_total_N,bands_in_subset_N,bands_excluded_from_subset_N,included_bands,excluded_bands,total_local_measurements_in_subset,minimum_local_N_in_subset,median_local_N_in_subset,maximum_local_N_in_subset,bands_with_brightest_before_anchor_N,bands_with_brightest_at_anchor_N,bands_with_brightest_after_anchor_N,minimum_brightest_offset_rest_days,median_brightest_offset_rest_days,maximum_brightest_offset_rest_days,bands_with_pre_step_diagnostic_N,bands_with_post_step_diagnostic_N,median_pre_rising_step_fraction,median_post_declining_step_fraction,final_decline_anchor_selected,final_fitting_window_selected,model_time_defined,notes
CURRENT,CURRENT,AT2019qiz,58764.0,bolometric_peak,60.0,BIDIRECTIONAL_STEPS,3,3,0,g;i;r,,82,15,32,35,2,0,1,-0.5418025277579328,-0.5023987075567042,2.285421571621082,3,3,0.9,0.7272727272727273,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2020wey,59152.0,fitted_ZTF_r_band_peak,120.0,LOCAL_DATA,4,4,0,W1;W2;g;r,,285,1,69.5,145,4,0,0,-8.488926341758747,-4.976644058154242,-1.447801300351314,2,2,0.6842105263157894,0.4933484973807555,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2020wey,59152.0,fitted_ZTF_r_band_peak,120.0,BOTH_SIDES,4,2,2,g;r,W1;W2,283,138,141.5,145,2,0,0,-1.4643617745497368,-1.4560815374505254,-1.447801300351314,2,2,0.6842105263157894,0.4933484973807555,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2020wey,59152.0,fitted_ZTF_r_band_peak,120.0,BIDIRECTIONAL_STEPS,4,2,2,g;r,W1;W2,283,138,141.5,145,2,0,0,-1.4643617745497368,-1.4560815374505254,-1.447801300351314,2,2,0.6842105263157894,0.4933484973807555,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2020wey,59152.0,fitted_ZTF_r_band_peak,30.0,LOCAL_DATA,4,4,0,W1;W2;g;r,,95,1,23.5,47,4,0,0,-8.488926341758747,-4.976644058154242,-1.447801300351314,2,2,0.6842105263157894,0.6276923076923078,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2020wey,59152.0,fitted_ZTF_r_band_peak,30.0,BOTH_SIDES,4,2,2,g;r,W1;W2,93,46,46.5,47,2,0,0,-1.4643617745497368,-1.4560815374505254,-1.447801300351314,2,2,0.6842105263157894,0.6276923076923078,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2020wey,59152.0,fitted_ZTF_r_band_peak,30.0,BIDIRECTIONAL_STEPS,4,2,2,g;r,W1;W2,93,46,46.5,47,2,0,0,-1.4643617745497368,-1.4560815374505254,-1.447801300351314,2,2,0.6842105263157894,0.6276923076923078,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2020wey,59152.0,fitted_ZTF_r_band_peak,60.0,LOCAL_DATA,4,4,0,W1;W2;g;r,,135,1,33.0,68,4,0,0,-8.488926341758747,-4.976644058154242,-1.447801300351314,2,2,0.6842105263157894,0.5606866537717602,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2020wey,59152.0,fitted_ZTF_r_band_peak,60.0,BOTH_SIDES,4,2,2,g;r,W1;W2,133,65,66.5,68,2,0,0,-1.4643617745497368,-1.4560815374505254,-1.447801300351314,2,2,0.6842105263157894,0.5606866537717602,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2020wey,59152.0,fitted_ZTF_r_band_peak,60.0,BIDIRECTIONAL_STEPS,4,2,2,g;r,W1;W2,133,65,66.5,68,2,0,0,-1.4643617745497368,-1.4560815374505254,-1.447801300351314,2,2,0.6842105263157894,0.5606866537717602,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2020ysg,59122.64,model_derived_K_corrected_multiband_peak,120.0,LOCAL_DATA,5,5,0,W1;W2;g;i;r,,147,2,13,81,1,0,4,-112.59285919342057,23.418856382227506,62.493728034478785,2,3,0.5444444444444445,0.5833333333333334,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2020ysg,59122.64,model_derived_K_corrected_multiband_peak,120.0,BOTH_SIDES,5,4,1,W1;W2;g;r,i,134,2,25.5,81,1,0,3,-112.59285919342057,17.54171468295675,48.86029896632511,2,2,0.5444444444444445,0.5625,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2020ysg,59122.64,model_derived_K_corrected_multiband_peak,120.0,BIDIRECTIONAL_STEPS,5,2,3,g;r,W1;W2;i,130,49,65.0,81,0,0,2,11.664572983685995,17.54171468295675,23.418856382227506,2,2,0.5444444444444445,0.5625,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2020ysg,59122.64,model_derived_K_corrected_multiband_peak,30.0,LOCAL_DATA,5,2,3,g;r,W1;W2;i,23,2,11.5,21,0,0,2,11.664572983685995,17.54171468295675,23.418856382227506,0,2,,0.225,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2020ysg,59122.64,model_derived_K_corrected_multiband_peak,30.0,BOTH_SIDES,5,0,5,,W1;W2;g;i;r,0,,,,0,0,0,,,,0,0,,,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2020ysg,59122.64,model_derived_K_corrected_multiband_peak,30.0,BIDIRECTIONAL_STEPS,5,0,5,,W1;W2;g;i;r,0,,,,0,0,0,,,,0,0,,,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2020ysg,59122.64,model_derived_K_corrected_multiband_peak,60.0,LOCAL_DATA,5,5,0,W1;W2;g;i;r,,67,1,1,49,0,0,5,11.664572983685995,48.86029896632511,52.38119577131364,1,2,0.4666666666666667,0.5401785714285714,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2020ysg,59122.64,model_derived_K_corrected_multiband_peak,60.0,BOTH_SIDES,5,1,4,r,W1;W2;g;i,49,49,49,49,0,0,1,11.664572983685995,11.664572983685995,11.664572983685995,1,1,0.4666666666666667,0.4375,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2020ysg,59122.64,model_derived_K_corrected_multiband_peak,60.0,BIDIRECTIONAL_STEPS,5,1,4,r,W1;W2;g;i,49,49,49,49,0,0,1,11.664572983685995,11.664572983685995,11.664572983685995,1,1,0.4666666666666667,0.4375,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2020yue,59179.44,fitted_rest_frame_g_band_peak,120.0,LOCAL_DATA,4,4,0,W1;W2;g;r,,143,1,29.5,83,0,0,4,2.44830144933124,3.736032410618092,5.055265282572749,2,2,0.7041666666666666,0.525735294117647,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2020yue,59179.44,fitted_rest_frame_g_band_peak,120.0,BOTH_SIDES,4,2,2,g;r,W1;W2,141,58,70.5,83,0,0,2,5.023763371904944,5.039514327238846,5.055265282572749,2,2,0.7041666666666666,0.525735294117647,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2020yue,59179.44,fitted_rest_frame_g_band_peak,120.0,BIDIRECTIONAL_STEPS,4,2,2,g;r,W1;W2,141,58,70.5,83,0,0,2,5.023763371904944,5.039514327238846,5.055265282572749,2,2,0.7041666666666666,0.525735294117647,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2020yue,59179.44,fitted_rest_frame_g_band_peak,30.0,LOCAL_DATA,4,4,0,W1;W2;g;r,,43,1,10.0,22,0,0,4,2.44830144933124,3.736032410618092,5.055265282572749,2,2,0.7291666666666667,0.7083333333333333,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2020yue,59179.44,fitted_rest_frame_g_band_peak,30.0,BOTH_SIDES,4,2,2,g;r,W1;W2,41,19,20.5,22,0,0,2,5.023763371904944,5.039514327238846,5.055265282572749,2,2,0.7291666666666667,0.7083333333333333,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2020yue,59179.44,fitted_rest_frame_g_band_peak,30.0,BIDIRECTIONAL_STEPS,4,2,2,g;r,W1;W2,41,19,20.5,22,0,0,2,5.023763371904944,5.039514327238846,5.055265282572749,2,2,0.7291666666666667,0.7083333333333333,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2020yue,59179.44,fitted_rest_frame_g_band_peak,60.0,LOCAL_DATA,4,4,0,W1;W2;g;r,,67,1,13.0,40,0,0,4,2.44830144933124,3.736032410618092,5.055265282572749,2,2,0.7201086956521738,0.6666666666666666,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2020yue,59179.44,fitted_rest_frame_g_band_peak,60.0,BOTH_SIDES,4,2,2,g;r,W1;W2,65,25,32.5,40,0,0,2,5.023763371904944,5.039514327238846,5.055265282572749,2,2,0.7201086956521738,0.6666666666666666,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2020yue,59179.44,fitted_rest_frame_g_band_peak,60.0,BIDIRECTIONAL_STEPS,4,2,2,g;r,W1;W2,65,25,32.5,40,0,0,2,5.023763371904944,5.039514327238846,5.055265282572749,2,2,0.7201086956521738,0.6666666666666666,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2020zso,59184.0,bolometric_peak,120.0,LOCAL_DATA,10,9,1,B;U;UVM2;UVW1;UVW2;W1;W2;g;r,i,208,1,13,90,2,0,7,-24.18096778377508,4.838846066585236,11.126208463502097,7,7,0.5,0.7142857142857143,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2020zso,59184.0,bolometric_peak,120.0,BOTH_SIDES,10,7,3,B;U;UVM2;UVW1;UVW2;g;r,W1;W2;i,206,12,13,90,0,0,7,0.25832055287197064,4.8957905898468965,11.126208463502097,7,7,0.5,0.7142857142857143,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2020zso,59184.0,bolometric_peak,120.0,BIDIRECTIONAL_STEPS,10,7,3,B;U;UVM2;UVW1;UVW2;g;r,W1;W2;i,206,12,13,90,0,0,7,0.25832055287197064,4.8957905898468965,11.126208463502097,7,7,0.5,0.7142857142857143,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2020zso,59184.0,bolometric_peak,30.0,LOCAL_DATA,10,9,1,B;U;UVM2;UVW1;UVW2;W1;W2;g;r,i,113,1,13,27,2,0,7,-24.18096778377508,4.838846066585236,11.126208463502097,7,7,0.5,0.7142857142857143,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2020zso,59184.0,bolometric_peak,30.0,BOTH_SIDES,10,7,3,B;U;UVM2;UVW1;UVW2;g;r,W1;W2;i,111,12,13,27,0,0,7,0.25832055287197064,4.8957905898468965,11.126208463502097,7,7,0.5,0.7142857142857143,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2020zso,59184.0,bolometric_peak,30.0,BIDIRECTIONAL_STEPS,10,7,3,B;U;UVM2;UVW1;UVW2;g;r,W1;W2;i,111,12,13,27,0,0,7,0.25832055287197064,4.8957905898468965,11.126208463502097,7,7,0.5,0.7142857142857143,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2020zso,59184.0,bolometric_peak,60.0,LOCAL_DATA,10,9,1,B;U;UVM2;UVW1;UVW2;W1;W2;g;r,i,182,1,13,76,2,0,7,-24.18096778377508,4.838846066585236,11.126208463502097,7,7,0.5,0.7142857142857143,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2020zso,59184.0,bolometric_peak,60.0,BOTH_SIDES,10,7,3,B;U;UVM2;UVW1;UVW2;g;r,W1;W2;i,180,12,13,76,0,0,7,0.25832055287197064,4.8957905898468965,11.126208463502097,7,7,0.5,0.7142857142857143,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2020zso,59184.0,bolometric_peak,60.0,BIDIRECTIONAL_STEPS,10,7,3,B;U;UVM2;UVW1;UVW2;g;r,W1;W2;i,180,12,13,76,0,0,7,0.25832055287197064,4.8957905898468965,11.126208463502097,7,7,0.5,0.7142857142857143,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
PUBLISHED_ALTERNATIVE,ALT_58424p96,AT2018hyz,58424.96,uniform K-corrected multiband fitted t_peak,120.0,LOCAL_DATA,1,1,0,g,,44,44,44,44,0,0,1,15.422614465493838,15.422614465493838,15.422614465493838,1,1,1.0,0.6585365853658537,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
PUBLISHED_ALTERNATIVE,ALT_58424p96,AT2018hyz,58424.96,uniform K-corrected multiband fitted t_peak,120.0,BOTH_SIDES,1,1,0,g,,44,44,44,44,0,0,1,15.422614465493838,15.422614465493838,15.422614465493838,1,1,1.0,0.6585365853658537,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
PUBLISHED_ALTERNATIVE,ALT_58424p96,AT2018hyz,58424.96,uniform K-corrected multiband fitted t_peak,120.0,BIDIRECTIONAL_STEPS,1,1,0,g,,44,44,44,44,0,0,1,15.422614465493838,15.422614465493838,15.422614465493838,1,1,1.0,0.6585365853658537,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
PUBLISHED_ALTERNATIVE,ALT_58424p96,AT2018hyz,58424.96,uniform K-corrected multiband fitted t_peak,30.0,LOCAL_DATA,1,1,0,g,,19,19,19,19,0,0,1,15.422614465493838,15.422614465493838,15.422614465493838,1,1,1.0,0.5,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
PUBLISHED_ALTERNATIVE,ALT_58424p96,AT2018hyz,58424.96,uniform K-corrected multiband fitted t_peak,30.0,BOTH_SIDES,1,1,0,g,,19,19,19,19,0,0,1,15.422614465493838,15.422614465493838,15.422614465493838,1,1,1.0,0.5,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
PUBLISHED_ALTERNATIVE,ALT_58424p96,AT2018hyz,58424.96,uniform K-corrected multiband fitted t_peak,30.0,BIDIRECTIONAL_STEPS,1,1,0,g,,19,19,19,19,0,0,1,15.422614465493838,15.422614465493838,15.422614465493838,1,1,1.0,0.5,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
PUBLISHED_ALTERNATIVE,ALT_58424p96,AT2018hyz,58424.96,uniform K-corrected multiband fitted t_peak,60.0,LOCAL_DATA,1,1,0,g,,29,29,29,29,0,0,1,15.422614465493838,15.422614465493838,15.422614465493838,1,1,1.0,0.6153846153846154,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
PUBLISHED_ALTERNATIVE,ALT_58424p96,AT2018hyz,58424.96,uniform K-corrected multiband fitted t_peak,60.0,BOTH_SIDES,1,1,0,g,,29,29,29,29,0,0,1,15.422614465493838,15.422614465493838,15.422614465493838,1,1,1.0,0.6153846153846154,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
PUBLISHED_ALTERNATIVE,ALT_58424p96,AT2018hyz,58424.96,uniform K-corrected multiband fitted t_peak,60.0,BIDIRECTIONAL_STEPS,1,1,0,g,,29,29,29,29,0,0,1,15.422614465493838,15.422614465493838,15.422614465493838,1,1,1.0,0.6153846153846154,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
PUBLISHED_ALTERNATIVE,ALT_58428p0,AT2018hyz,58428.0,empirical light-curve-model peak quoted by Gomez et al.,120.0,LOCAL_DATA,1,1,0,g,,44,44,44,44,0,0,1,12.515554325686361,12.515554325686361,12.515554325686361,1,1,1.0,0.6585365853658537,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
PUBLISHED_ALTERNATIVE,ALT_58428p0,AT2018hyz,58428.0,empirical light-curve-model peak quoted by Gomez et al.,120.0,BOTH_SIDES,1,1,0,g,,44,44,44,44,0,0,1,12.515554325686361,12.515554325686361,12.515554325686361,1,1,1.0,0.6585365853658537,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
PUBLISHED_ALTERNATIVE,ALT_58428p0,AT2018hyz,58428.0,empirical light-curve-model peak quoted by Gomez et al.,120.0,BIDIRECTIONAL_STEPS,1,1,0,g,,44,44,44,44,0,0,1,12.515554325686361,12.515554325686361,12.515554325686361,1,1,1.0,0.6585365853658537,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
PUBLISHED_ALTERNATIVE,ALT_58428p0,AT2018hyz,58428.0,empirical light-curve-model peak quoted by Gomez et al.,30.0,LOCAL_DATA,1,1,0,g,,19,19,19,19,0,0,1,12.515554325686361,12.515554325686361,12.515554325686361,1,1,1.0,0.5,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
PUBLISHED_ALTERNATIVE,ALT_58428p0,AT2018hyz,58428.0,empirical light-curve-model peak quoted by Gomez et al.,30.0,BOTH_SIDES,1,1,0,g,,19,19,19,19,0,0,1,12.515554325686361,12.515554325686361,12.515554325686361,1,1,1.0,0.5,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
