scenario_id,event,redshift_adopted,bands_N,eligible_N,retained_N,retained_fraction,pre_reference_retained_N,at_reference_retained_N,post_reference_retained_N,bands_nonempty_N,bands_zero_N,earliest_retained_minus_reference_rest_days,latest_retained_minus_reference_rest_days,retained_event_span_rest_days,final_fitting_window_selected,model_time_defined,reference_epoch_limitation
REF_0_180,AT2019qiz,0.01513,3,145,122,0.8413793103448276,0,0,122,3,0,2.2755706165689826,141.3415030587247,139.0659324421557,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_180,AT2020wey,0.02738,4,1524,324,0.2125984251968504,0,0,324,4,0,1.4504937801305806,179.41092331945504,177.96042953932445,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_180,AT2020ysg,0.277,5,1073,241,0.22460391425908668,0,0,241,5,0,11.660893187073157,179.7968147220729,168.13592153499974,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_180,AT2020yue,0.204,4,542,137,0.25276752767527677,0,0,137,4,0,2.44830144933124,170.91039127891264,168.4620898295814,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_180,AT2020zso,0.0563,10,788,113,0.1434010152284264,0,0,113,9,1,0.14101893380164401,179.34222266407392,179.20120373027228,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_365,AT2018hyz,0.04573,1,79,77,0.9746835443037974,0,0,77,1,0,3.2061207641033502,214.1838864955581,210.97776573145475,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_365,AT2019qiz,0.01513,3,145,122,0.8413793103448276,0,0,122,3,0,2.2755706165689826,141.3415030587247,139.0659324421557,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_365,AT2020wey,0.02738,4,1524,433,0.2841207349081365,0,0,433,4,0,1.4504937801305806,364.53181568633045,363.0813219061999,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_365,AT2020ysg,0.277,5,1073,331,0.3084808946877912,0,0,331,5,0,11.660893187073157,336.160387243538,324.49949405646487,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_365,AT2020yue,0.204,4,542,171,0.3154981549815498,0,0,171,4,0,2.44830144933124,308.1766507476456,305.72834929831436,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_365,AT2020zso,0.0563,10,788,214,0.2715736040609137,0,0,214,10,0,0.14101893380164401,346.6548372621164,346.51381832831476,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_730,AT2018hyz,0.04573,1,79,77,0.9746835443037974,0,0,77,1,0,3.2061207641033502,214.1838864955581,210.97776573145475,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_730,AT2019qiz,0.01513,3,145,122,0.8413793103448276,0,0,122,3,0,2.2755706165689826,141.3415030587247,139.0659324421557,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_730,AT2020wey,0.02738,4,1524,627,0.41141732283464566,0,0,627,4,0,1.4504937801305806,729.540437423323,728.0899436431924,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_730,AT2020ysg,0.277,5,1073,570,0.5312208760484622,0,0,570,5,0,11.660893187073157,729.6386477680693,717.9777545809961,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_730,AT2020yue,0.204,4,542,282,0.5202952029520295,0,0,282,4,0,2.44830144933124,729.949233638062,727.5009321887308,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_730,AT2020zso,0.0563,10,788,337,0.4276649746192893,0,0,337,10,0,0.14101893380164401,708.2488096184153,708.1077906846136,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_180,AT2018hyz,0.04573,1,79,62,0.7848101265822784,2,0,60,1,0,-22.491073221726747,169.5212315798533,192.01230480158003,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_180,AT2019qiz,0.01513,3,145,145,1.0,23,0,122,3,0,-18.234117797722494,141.3415030587247,159.5756208564472,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_180,AT2020wey,0.02738,4,1524,366,0.24015748031496062,42,0,324,4,0,-29.71331289288583,179.41092331945504,209.12423621234086,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_180,AT2020ysg,0.277,5,1073,241,0.22460391425908668,0,0,241,5,0,11.660893187073157,179.7968147220729,168.13592153499974,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_180,AT2020yue,0.204,4,542,159,0.2933579335793358,22,0,137,4,0,-29.83019568117535,170.91039127891264,200.740586960088,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_180,AT2020zso,0.0563,10,788,170,0.21573604060913706,57,0,113,9,1,-28.223625579916774,179.34222266407392,207.5658482439907,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_365,AT2018hyz,0.04573,1,79,79,1.0,2,0,77,1,0,-22.491073221726747,214.1838864955581,236.67495971728485,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_365,AT2019qiz,0.01513,3,145,145,1.0,23,0,122,3,0,-18.234117797722494,141.3415030587247,159.5756208564472,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_365,AT2020wey,0.02738,4,1524,475,0.31167979002624674,42,0,433,4,0,-29.71331289288583,364.53181568633045,394.24512857921627,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_365,AT2020ysg,0.277,5,1073,331,0.3084808946877912,0,0,331,5,0,11.660893187073157,336.160387243538,324.49949405646487,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_365,AT2020yue,0.204,4,542,193,0.35608856088560886,22,0,171,4,0,-29.83019568117535,308.1766507476456,338.00684642882095,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_365,AT2020zso,0.0563,10,788,271,0.34390862944162437,57,0,214,10,0,-28.223625579916774,346.6548372621164,374.8784628420332,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_730,AT2018hyz,0.04573,1,79,79,1.0,2,0,77,1,0,-22.491073221726747,214.1838864955581,236.67495971728485,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_730,AT2019qiz,0.01513,3,145,145,1.0,23,0,122,3,0,-18.234117797722494,141.3415030587247,159.5756208564472,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_730,AT2020wey,0.02738,4,1524,669,0.4389763779527559,42,0,627,4,0,-29.71331289288583,729.540437423323,759.2537503162089,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_730,AT2020ysg,0.277,5,1073,570,0.5312208760484622,0,0,570,5,0,11.660893187073157,729.6386477680693,717.9777545809961,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_730,AT2020yue,0.204,4,542,304,0.5608856088560885,22,0,282,4,0,-29.83019568117535,729.949233638062,759.7794293192374,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_730,AT2020zso,0.0563,10,788,394,0.5,57,0,337,10,0,-28.223625579916774,708.2488096184153,736.472435198332,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_180,AT2018hyz,0.04573,1,79,62,0.7848101265822784,2,0,60,1,0,-22.491073221726747,169.5212315798533,192.01230480158003,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_180,AT2019qiz,0.01513,3,145,145,1.0,23,0,122,3,0,-18.234117797722494,141.3415030587247,159.5756208564472,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_180,AT2020wey,0.02738,4,1524,366,0.24015748031496062,42,0,324,4,0,-29.71331289288583,179.41092331945504,209.12423621234086,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_180,AT2020ysg,0.277,5,1073,257,0.23951537744641194,16,0,241,5,0,-59.881050822192584,179.7968147220729,239.67786554426547,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_180,AT2020yue,0.204,4,542,170,0.31365313653136534,33,0,137,4,0,-36.47947234208533,170.91039127891264,207.38986362099797,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_180,AT2020zso,0.0563,10,788,208,0.2639593908629442,95,0,113,9,1,-55.65633977086486,179.34222266407392,234.99856243493878,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_365,AT2018hyz,0.04573,1,79,79,1.0,2,0,77,1,0,-22.491073221726747,214.1838864955581,236.67495971728485,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_365,AT2019qiz,0.01513,3,145,145,1.0,23,0,122,3,0,-18.234117797722494,141.3415030587247,159.5756208564472,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_365,AT2020wey,0.02738,4,1524,475,0.31167979002624674,42,0,433,4,0,-29.71331289288583,364.53181568633045,394.24512857921627,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_365,AT2020ysg,0.277,5,1073,347,0.3233923578751165,16,0,331,5,0,-59.881050822192584,336.160387243538,396.04143806573063,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_365,AT2020yue,0.204,4,542,204,0.3763837638376384,33,0,171,4,0,-36.47947234208533,308.1766507476456,344.65612308973095,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_365,AT2020zso,0.0563,10,788,309,0.39213197969543145,95,0,214,10,0,-55.65633977086486,346.6548372621164,402.3111770329813,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_730,AT2018hyz,0.04573,1,79,79,1.0,2,0,77,1,0,-22.491073221726747,214.1838864955581,236.67495971728485,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_730,AT2019qiz,0.01513,3,145,145,1.0,23,0,122,3,0,-18.234117797722494,141.3415030587247,159.5756208564472,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_730,AT2020wey,0.02738,4,1524,669,0.4389763779527559,42,0,627,4,0,-29.71331289288583,729.540437423323,759.2537503162089,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_730,AT2020ysg,0.277,5,1073,586,0.5461323392357875,16,0,570,5,0,-59.881050822192584,729.6386477680693,789.5196985902619,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_730,AT2020yue,0.204,4,542,315,0.5811808118081181,33,0,282,4,0,-36.47947234208533,729.949233638062,766.4287059801472,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_730,AT2020zso,0.0563,10,788,432,0.5482233502538071,95,0,337,10,0,-55.65633977086486,708.2488096184153,763.9051493892802,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_180,AT2018hyz,0.04573,1,79,62,0.7848101265822784,2,0,60,1,0,-22.491073221726747,169.5212315798533,192.01230480158003,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_180,AT2019qiz,0.01513,3,145,145,1.0,23,0,122,3,0,-18.234117797722494,141.3415030587247,159.5756208564472,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_180,AT2020wey,0.02738,4,1524,366,0.24015748031496062,42,0,324,4,0,-29.71331289288583,179.41092331945504,209.12423621234086,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_180,AT2020ysg,0.277,5,1073,287,0.2674743709226468,46,0,241,5,0,-118.59897509777322,179.7968147220729,298.39578981984613,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_180,AT2020yue,0.204,4,542,177,0.32656826568265684,40,0,137,4,0,-114.006552242713,170.91039127891264,284.9169435216256,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_180,AT2020zso,0.0563,10,788,234,0.2969543147208122,121,0,113,9,1,-119.86092700935356,179.34222266407392,299.20314967342745,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_365,AT2018hyz,0.04573,1,79,79,1.0,2,0,77,1,0,-22.491073221726747,214.1838864955581,236.67495971728485,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_365,AT2019qiz,0.01513,3,145,145,1.0,23,0,122,3,0,-18.234117797722494,141.3415030587247,159.5756208564472,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_365,AT2020wey,0.02738,4,1524,475,0.31167979002624674,42,0,433,4,0,-29.71331289288583,364.53181568633045,394.24512857921627,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_365,AT2020ysg,0.277,5,1073,377,0.35135135135135137,46,0,331,5,0,-118.59897509777322,336.160387243538,454.75936234131126,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_365,AT2020yue,0.204,4,542,211,0.3892988929889299,40,0,171,4,0,-114.006552242713,308.1766507476456,422.1832029903586,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_365,AT2020zso,0.0563,10,788,335,0.4251269035532995,121,0,214,10,0,-119.86092700935356,346.6548372621164,466.51576427146995,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_730,AT2018hyz,0.04573,1,79,79,1.0,2,0,77,1,0,-22.491073221726747,214.1838864955581,236.67495971728485,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_730,AT2019qiz,0.01513,3,145,145,1.0,23,0,122,3,0,-18.234117797722494,141.3415030587247,159.5756208564472,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_730,AT2020wey,0.02738,4,1524,669,0.4389763779527559,42,0,627,4,0,-29.71331289288583,729.540437423323,759.2537503162089,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_730,AT2020ysg,0.277,5,1073,616,0.5740913327120224,46,0,570,5,0,-118.59897509777322,729.6386477680693,848.2376228658425,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_730,AT2020yue,0.204,4,542,322,0.5940959409594095,40,0,282,4,0,-114.006552242713,729.949233638062,843.955785880775,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_730,AT2020zso,0.0563,10,788,458,0.5812182741116751,121,0,337,10,0,-119.86092700935356,708.2488096184153,828.1097366277688,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
