Event,Band,Raw_JSON_file,Schema_type,Number_of_clean_points,Time_column_name,Flux_column_name,Flux_error_column_name,Units,Was_host_subtracted,Preprocessing
AT2020zso,W1,AT2020zso.json.txt,lightcurve JSON v0.6 style,10,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,W2,AT2020zso.json.txt,lightcurve JSON v0.6 style,11,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,g,AT2020zso.json.txt,lightcurve JSON v0.6 style,162,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i,AT2020zso.json.txt,lightcurve JSON v0.6 style,40,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r,AT2020zso.json.txt,lightcurve JSON v0.6 style,232,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,B,AT2020yue.json.txt,lightcurve JSON v0.6 style,5,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,U,AT2020yue.json.txt,lightcurve JSON v0.6 style,5,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,UVM2,AT2020yue.json.txt,lightcurve JSON v0.6 style,6,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,UVW1,AT2020yue.json.txt,lightcurve JSON v0.6 style,6,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,UVW2,AT2020yue.json.txt,lightcurve JSON v0.6 style,6,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,W1,AT2020yue.json.txt,lightcurve JSON v0.6 style,10,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,W2,AT2020yue.json.txt,lightcurve JSON v0.6 style,13,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,g,AT2020yue.json.txt,lightcurve JSON v0.6 style,168,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r,AT2020yue.json.txt,lightcurve JSON v0.6 style,230,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,B,AT2020ysg.json.txt,lightcurve JSON v0.6 style,3,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,U,AT2020ysg.json.txt,lightcurve JSON v0.6 style,3,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,UVM2,AT2020ysg.json.txt,lightcurve JSON v0.6 style,3,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,UVW1,AT2020ysg.json.txt,lightcurve JSON v0.6 style,4,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,UVW2,AT2020ysg.json.txt,lightcurve JSON v0.6 style,3,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,W1,AT2020ysg.json.txt,lightcurve JSON v0.6 style,16,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,W2,AT2020ysg.json.txt,lightcurve JSON v0.6 style,14,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g,AT2020ysg.json.txt,lightcurve JSON v0.6 style,327,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,i,AT2020ysg.json.txt,lightcurve JSON v0.6 style,67,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r,AT2020ysg.json.txt,lightcurve JSON v0.6 style,421,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
