Event,Band,Number_of_points_used,source_original,URL_or_DOI,original_filename_if_exists,input_JSON_file,downloaded_from_TNS_ZTF_ASASSN_ATLAS_or_supplement,source_catalog_or_paper_ref,instrument_or_survey_inferred,preprocessing_before_fit,host_subtracted,galactic_extinction_correction,provenance_confidence,notes
AT2020zso,UVM2,17,"Wevers et al. (2022), An elliptical accretion disk following AT2020zso; Hammerstein et al. (2023), The Final Season Reimagined: 30 TDEs from ZTF-I Survey",10.1051/0004-6361/202142616; 10.3847/1538-4357/aca283; arXiv:2203.01461; https://www.aanda.org/articles/aa/full_html/2022/10/aa42616-21/aa42616-21.html; https://ui.adsabs.harvard.edu/abs/2023ApJ...942....9H/abstract,AT2020zso.json.txt,AT2020zso.json.txt,Swift/UVOT / paper compiled light curve,"2022A&A...666A...6W,2023ApJ...942....9H",Swift/UVOT,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","UVOT aperture in JSON: 7.0 arcsec. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020zso,UVW1,18,"Wevers et al. (2022), An elliptical accretion disk following AT2020zso; Hammerstein et al. (2023), The Final Season Reimagined: 30 TDEs from ZTF-I Survey",10.1051/0004-6361/202142616; 10.3847/1538-4357/aca283; arXiv:2203.01461; https://www.aanda.org/articles/aa/full_html/2022/10/aa42616-21/aa42616-21.html; https://ui.adsabs.harvard.edu/abs/2023ApJ...942....9H/abstract,AT2020zso.json.txt,AT2020zso.json.txt,Swift/UVOT / paper compiled light curve,"2022A&A...666A...6W,2023ApJ...942....9H",Swift/UVOT,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","UVOT aperture in JSON: 7.0 arcsec. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020zso,UVW2,18,"Wevers et al. (2022), An elliptical accretion disk following AT2020zso; Hammerstein et al. (2023), The Final Season Reimagined: 30 TDEs from ZTF-I Survey",10.1051/0004-6361/202142616; 10.3847/1538-4357/aca283; arXiv:2203.01461; https://www.aanda.org/articles/aa/full_html/2022/10/aa42616-21/aa42616-21.html; https://ui.adsabs.harvard.edu/abs/2023ApJ...942....9H/abstract,AT2020zso.json.txt,AT2020zso.json.txt,Swift/UVOT / paper compiled light curve,"2022A&A...666A...6W,2023ApJ...942....9H",Swift/UVOT,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","UVOT aperture in JSON: 7.0 arcsec. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020zso,W1,10,"Wevers et al. (2022), An elliptical accretion disk following AT2020zso; Hammerstein et al. (2023), The Final Season Reimagined: 30 TDEs from ZTF-I Survey",10.1051/0004-6361/202142616; 10.3847/1538-4357/aca283; arXiv:2203.01461; https://www.aanda.org/articles/aa/full_html/2022/10/aa42616-21/aa42616-21.html; https://ui.adsabs.harvard.edu/abs/2023ApJ...942....9H/abstract,AT2020zso.json.txt,AT2020zso.json.txt,WISE/NEOWISE / paper compiled light curve,"2022A&A...666A...6W,2023ApJ...942....9H",WISE/NEOWISE,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","WISE W1/W2 filter entries in compiled lightcurve JSON. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020zso,W2,11,"Wevers et al. (2022), An elliptical accretion disk following AT2020zso; Hammerstein et al. (2023), The Final Season Reimagined: 30 TDEs from ZTF-I Survey",10.1051/0004-6361/202142616; 10.3847/1538-4357/aca283; arXiv:2203.01461; https://www.aanda.org/articles/aa/full_html/2022/10/aa42616-21/aa42616-21.html; https://ui.adsabs.harvard.edu/abs/2023ApJ...942....9H/abstract,AT2020zso.json.txt,AT2020zso.json.txt,WISE/NEOWISE / paper compiled light curve,"2022A&A...666A...6W,2023ApJ...942....9H",WISE/NEOWISE,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","WISE W1/W2 filter entries in compiled lightcurve JSON. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020zso,g,162,"Wevers et al. (2022), An elliptical accretion disk following AT2020zso; Hammerstein et al. (2023), The Final Season Reimagined: 30 TDEs from ZTF-I Survey",10.1051/0004-6361/202142616; 10.3847/1538-4357/aca283; arXiv:2203.01461; https://www.aanda.org/articles/aa/full_html/2022/10/aa42616-21/aa42616-21.html; https://ui.adsabs.harvard.edu/abs/2023ApJ...942....9H/abstract,AT2020zso.json.txt,AT2020zso.json.txt,ZTF,"2022A&A...666A...6W,2023ApJ...942....9H",ZTF DR23,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","ZTF data release field in JSON:  dr23. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020zso,i,40,"Wevers et al. (2022), An elliptical accretion disk following AT2020zso; Hammerstein et al. (2023), The Final Season Reimagined: 30 TDEs from ZTF-I Survey",10.1051/0004-6361/202142616; 10.3847/1538-4357/aca283; arXiv:2203.01461; https://www.aanda.org/articles/aa/full_html/2022/10/aa42616-21/aa42616-21.html; https://ui.adsabs.harvard.edu/abs/2023ApJ...942....9H/abstract,AT2020zso.json.txt,AT2020zso.json.txt,ZTF,"2022A&A...666A...6W,2023ApJ...942....9H",ZTF DR23,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","ZTF data release field in JSON:  dr23. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020zso,r,232,"Wevers et al. (2022), An elliptical accretion disk following AT2020zso; Hammerstein et al. (2023), The Final Season Reimagined: 30 TDEs from ZTF-I Survey",10.1051/0004-6361/202142616; 10.3847/1538-4357/aca283; arXiv:2203.01461; https://www.aanda.org/articles/aa/full_html/2022/10/aa42616-21/aa42616-21.html; https://ui.adsabs.harvard.edu/abs/2023ApJ...942....9H/abstract,AT2020zso.json.txt,AT2020zso.json.txt,ZTF,"2022A&A...666A...6W,2023ApJ...942....9H",ZTF DR23,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","ZTF data release field in JSON:  dr23. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020yue,W1,10,Compiled lightcurve JSON catalog_version v0.6,,AT2020yue.json.txt,AT2020yue.json.txt,WISE/NEOWISE / paper compiled light curve,2023ApJ...955L...6Y,WISE/NEOWISE,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","WISE W1/W2 filter entries in compiled lightcurve JSON. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020yue,W2,13,Compiled lightcurve JSON catalog_version v0.6,,AT2020yue.json.txt,AT2020yue.json.txt,WISE/NEOWISE / paper compiled light curve,2023ApJ...955L...6Y,WISE/NEOWISE,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","WISE W1/W2 filter entries in compiled lightcurve JSON. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020yue,g,168,Compiled lightcurve JSON catalog_version v0.6,,AT2020yue.json.txt,AT2020yue.json.txt,ZTF,2023ApJ...955L...6Y,ZTF DR23,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","ZTF data release field in JSON:  dr23. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020yue,r,230,Compiled lightcurve JSON catalog_version v0.6,,AT2020yue.json.txt,AT2020yue.json.txt,ZTF,2023ApJ...955L...6Y,ZTF DR23,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","ZTF data release field in JSON:  dr23. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020ysg,W1,16,"Hammerstein et al. (2023), The Final Season Reimagined: 30 TDEs from ZTF-I Survey",10.3847/1538-4357/aca283; arXiv:2203.01461; https://ui.adsabs.harvard.edu/abs/2023ApJ...942....9H/abstract,AT2020ysg.json.txt,AT2020ysg.json.txt,WISE/NEOWISE / paper compiled light curve,2023ApJ...942....9H,WISE/NEOWISE,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","WISE W1/W2 filter entries in compiled lightcurve JSON. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
