event,band,raw_band,data_mode,historical_N,processed_N,raw_candidate_N,finite_flux_error_N,positive_flux_positive_error_N,processed_rule_match,processed_rows_exactly_matched,raw_nonpositive_flux_N,raw_nonpositive_error_N,fraction_retained,finite_magnitude_N,upper_limit_N,non_upperlimit_finite_magnitude_N,finite_positive_magnitude_error_N,processed_unmatched_N,selected_raw_unmatched_N,excluded_source_rows_N,raw_positive_flux_N,raw_zero_flux_N,raw_negative_flux_N,raw_flux_median,positive_only_flux_median,raw_flux_mean,positive_only_flux_mean,pre_reference_N,pre_reference_positive_N,pre_reference_zero_N,pre_reference_negative_N,pre_reference_raw_flux_median,pre_reference_positive_only_flux_median,pre_reference_raw_flux_mean,pre_reference_positive_only_flux_mean,publication_reference_mjd,preprocessing_class,notes
AT2020yue,W2,W2.wise,flux,13,13,21,21,13,True,True,8,0,0.6190476190476191,,,,,0,0,8,13,0,8,2.685380985670369e-06,1.67426776108876e-05,1.8419565187948487e-06,1.7340536753117003e-05,13,7,0,6,3.3088553806301897e-07,1.67426776108876e-05,-3.2257113084490234e-06,1.6810677465222128e-05,59179.44,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020yue,g,g.ztf,flux,168,168,218,218,168,True,True,50,0,0.7706422018348624,,,,,0,0,50,168,1,49,5.624403946634211e-06,1.1792215298576144e-05,2.4952695423254458e-05,3.321403662221991e-05,80,43,1,36,4.671167473484894e-07,2.8196543487133304e-06,1.1054672326759318e-05,2.242636912080982e-05,59179.44,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020yue,r,r.ztf,flux,230,230,282,282,230,True,True,52,0,0.8156028368794326,,,,,0,0,52,230,1,51,9.38470663815028e-06,1.3286687920894632e-05,2.2042584347616227e-05,2.800773678005736e-05,117,71,1,45,1.3367499996536795e-06,4.972443093747994e-06,8.17665943908028e-06,1.6235937821244863e-05,59179.44,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020zso,B,B.uvot,flux,14,14,18,18,14,True,True,4,0,0.7777777777777778,,,,,0,0,4,14,0,4,0.000126595,0.00015304,9.011761111111111e-05,0.0001363775,5,5,0,0,0.00014741,0.00014741,0.000145344,0.000145344,59184.0,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020zso,U,U.uvot,flux,15,15,18,18,15,True,True,3,0,0.8333333333333334,,,,,0,0,3,15,0,3,0.00011931000000000001,0.00017682,0.00012503603666666666,0.000153877644,5,5,0,0,0.00018772,0.00018772,0.00018204,0.00018204,59184.0,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020zso,UVM2,UVM2.uvot,flux,17,17,17,17,17,True,True,0,0,1.0,,,,,0,0,0,17,0,0,0.00015199,0.00015199,0.00011773153529411765,0.00011773153529411765,5,5,0,0,0.00017871,0.00017871,0.000183574,0.000183574,59184.0,POSITIVE_FLUX_SELECTION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020zso,UVW1,UVW1.uvot,flux,18,18,18,18,18,True,True,0,0,1.0,,,,,0,0,0,18,0,0,0.00011716500000000001,0.00011716500000000001,0.00011556536111111112,0.00011556536111111112,5,5,0,0,0.00017881,0.00017881,0.000183766,0.000183766,59184.0,POSITIVE_FLUX_SELECTION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020zso,UVW2,UVW2.uvot,flux,18,18,18,18,18,True,True,0,0,1.0,,,,,0,0,0,18,0,0,0.000111602,0.000111602,0.00012754490555555556,0.00012754490555555556,5,5,0,0,0.00021384,0.00021384,0.000226998,0.000226998,59184.0,POSITIVE_FLUX_SELECTION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020zso,W1,W1.wise,flux,10,10,21,21,10,True,True,11,0,0.47619047619047616,,,,,0,0,11,10,0,11,-6.01284371700371e-07,8.239488227485748e-06,-2.3961925120980986e-07,1.1842529506043129e-05,14,5,0,9,-6.545106672695237e-06,9.459591094916415e-06,-2.871612018704942e-06,1.5205648721880287e-05,59184.0,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020zso,W2,W2.wise,flux,11,11,21,21,11,True,True,10,0,0.5238095238095238,,,,,0,0,10,11,0,10,2.8578164970285632e-06,2.67427727014526e-05,8.30591659238925e-06,2.556326990388069e-05,14,5,0,9,-5.550133689555355e-06,1.6032265951428714e-05,-7.083433112128615e-07,1.7321454854099666e-05,59184.0,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020zso,g,g.ztf,flux,162,162,269,269,162,True,True,107,0,0.6022304832713755,,,,,0,0,107,162,0,107,1.7825482930044226e-06,4.172283693057037e-06,1.0419682912799965e-05,1.91431215402835e-05,89,53,0,36,1.4828041414875792e-06,4.515192561983649e-06,1.084598840525073e-05,2.051477074117337e-05,59184.0,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020zso,i,i.ztf,flux,40,40,64,64,40,True,True,24,0,0.625,,,,,0,0,24,40,1,23,1.5371536380079037e-06,6.199701536193085e-06,2.5457119658657635e-06,6.485740018169379e-06,9,4,1,4,0,3.964584085665874e-06,-3.711868548623652e-07,5.323348937883423e-06,59184.0,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020zso,r,r.ztf,flux,232,232,324,324,232,True,True,92,0,0.7160493827160493,,,,,0,0,92,232,1,91,3.075663024329094e-06,5.974882978079632e-06,1.5225458077753617e-05,2.31048019565502e-05,107,68,1,38,2.0928061684851564e-06,5.923520897384654e-06,6.428131796114093e-06,1.2812908029669239e-05,59184.0,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
